"path","absolute_path","bytes","classification","action","reason","recoverability"
"data/rl_runs","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\rl_runs","11030016","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"data/synthetic_diagnostics","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\synthetic_diagnostics","0","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"logs","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\logs","1062065","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"figures","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\figures","250643","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"paper_revision","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\paper_revision","721628","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"CUHK_SZ_Vine_RL_Paper_revised","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\CUHK_SZ_Vine_RL_Paper_revised","327275","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"data/pretrain_returns.qs","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\pretrain_returns.qs","6748004328","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/benchmark_results.RData","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\benchmark_results.RData","13144","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/eu_backtest_result.RData","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\eu_backtest_result.RData","21566","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/evaluation_comparison_default.RData","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\evaluation_comparison_default.RData","860","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/evaluation_logs_default.csv","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\evaluation_logs_default.csv","103464","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/evaluation_results.RData","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\evaluation_results.RData","14054","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/evaluation_summary_default.csv","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\evaluation_summary_default.csv","8609","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/marginal_results.RData","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\marginal_results.RData","2774817","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/nn_backtest_result.RData","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\nn_backtest_result.RData","2303","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"data/vine_fit.RData","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\vine_fit.RData","1321","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"CUHK_SZ_Vine_RL_Paper_revised.zip","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\CUHK_SZ_Vine_RL_Paper_revised.zip","235857","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"CUHK_SZ_Vine_RL_Paper_revised_causal_v1.zip","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\CUHK_SZ_Vine_RL_Paper_revised_causal_v1.zip","917180","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"paper_revision.zip","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\paper_revision.zip","590538","generated_or_duplicate","delete_local","Obsolete pre-schema output or duplicate archive.","Regenerable; final evidence/manuscript retained."
"manuscript_revision_causal_v1/main.aux","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\manuscript_revision_causal_v1\main.aux","24672","build_or_superseded_figure","delete_local","LaTeX intermediate or unreferenced obsolete figure.","Regenerable from source."
"manuscript_revision_causal_v1/main.blg","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\manuscript_revision_causal_v1\main.blg","1049","build_or_superseded_figure","delete_local","LaTeX intermediate or unreferenced obsolete figure.","Regenerable from source."
"manuscript_revision_causal_v1/main.log","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\manuscript_revision_causal_v1\main.log","22789","build_or_superseded_figure","delete_local","LaTeX intermediate or unreferenced obsolete figure.","Regenerable from source."
"manuscript_revision_causal_v1/main.out","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\manuscript_revision_causal_v1\main.out","10758","build_or_superseded_figure","delete_local","LaTeX intermediate or unreferenced obsolete figure.","Regenerable from source."
"manuscript_revision_causal_v1/figures/lstm_ddpg_architecture.pdf","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\manuscript_revision_causal_v1\figures\lstm_ddpg_architecture.pdf","124931","build_or_superseded_figure","delete_local","LaTeX intermediate or unreferenced obsolete figure.","Regenerable from source."
"manuscript_revision_causal_v1/figures/training_strategy_old.pdf","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\manuscript_revision_causal_v1\figures\training_strategy_old.pdf","78033","build_or_superseded_figure","delete_local","LaTeX intermediate or unreferenced obsolete figure.","Regenerable from source."
"analysis_outputs/oos_v4_verified_770d2944","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\analysis_outputs\oos_v4_verified_770d2944","9796372","canonical","retain","Current evidence, source manuscript, or raw input.","Authoritative local copy."
"analysis_outputs/post_hoc_compressed_vine_benchmark_reconciliation_v1","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\analysis_outputs\post_hoc_compressed_vine_benchmark_reconciliation_v1","7142","canonical","retain","Current evidence, source manuscript, or raw input.","Authoritative local copy."
"frozen_releases/final_evidence/causal_results_v2_v3_v4_plot_runtime_v1.tar.gz","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\frozen_releases\final_evidence\causal_results_v2_v3_v4_plot_runtime_v1.tar.gz","2143282","canonical","retain","Current evidence, source manuscript, or raw input.","Authoritative local copy."
"manuscript_revision_causal_v1","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\manuscript_revision_causal_v1","1465806","canonical","retain","Current evidence, source manuscript, or raw input.","Authoritative local copy."
"data/portfolio_A_5assets_2007.csv","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\portfolio_A_5assets_2007.csv","242461","canonical","retain","Current evidence, source manuscript, or raw input.","Authoritative local copy."
"data/portfolio_B_7assets_2013.csv","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\portfolio_B_7assets_2013.csv","193908","canonical","retain","Current evidence, source manuscript, or raw input.","Authoritative local copy."
"data/portfolio_C_8assets_2015.csv","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\portfolio_C_8assets_2015.csv","192764","canonical","retain","Current evidence, source manuscript, or raw input.","Authoritative local copy."
"frozen_releases/post_holdout_explanatory_ablation_v2","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\frozen_releases\post_holdout_explanatory_ablation_v2","279641","immutable_provenance","retain","Frozen scientific registration/release.","Do not edit."
"frozen_releases/post_holdout_secondary_plan_v1","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\frozen_releases\post_holdout_secondary_plan_v1","587224","immutable_provenance","retain","Frozen scientific registration/release.","Do not edit."
