seed,stage,pass,position,original_episode
20260842,all_history_refit,1,4,39
20260842,all_history_refit,1,5,61
20260842,all_history_refit,1,6,56
20260842,all_history_refit,1,7,2
20260842,all_history_refit,1,8,20
20260842,all_history_refit,1,9,11
20260842,all_history_refit,1,10,40
20260842,all_history_refit,1,11,12
20260842,all_history_refit,1,12,49
20260842,all_history_refit,1,13,50
20260842,all_history_refit,1,14,35
20260842,all_history_refit,1,15,29
20260842,all_history_refit,1,16,37
20260842,all_history_refit,1,17,19
20260842,all_history_refit,1,18,4
20260842,all_history_refit,1,19,43
20260842,all_history_refit,1,20,41
20260842,all_history_refit,1,21,14
20260842,all_history_refit,1,22,59
20260842,all_history_refit,1,23,28
20260842,all_history_refit,1,24,55
20260842,all_history_refit,1,25,27
20260842,all_history_refit,1,26,53
20260842,all_history_refit,1,27,22
20260842,all_history_refit,1,28,5
20260842,all_history_refit,1,29,52
20260842,all_history_refit,1,30,46
20260842,all_history_refit,1,31,34
20260842,all_history_refit,1,32,32
20260842,all_history_refit,1,33,24
20260842,all_history_refit,1,34,26
20260842,all_history_refit,1,35,8
20260842,all_history_refit,1,36,48
20260842,all_history_refit,1,37,42
20260842,all_history_refit,1,38,13
20260842,all_history_refit,1,39,6
20260842,all_history_refit,1,40,38
20260842,all_history_refit,1,41,30
20260842,all_history_refit,1,42,58
20260842,all_history_refit,1,43,45
20260842,all_history_refit,1,44,60
20260842,all_history_refit,1,45,36
20260842,all_history_refit,1,46,44
20260842,all_history_refit,1,47,25
20260842,all_history_refit,1,48,17
20260842,all_history_refit,1,49,9
20260842,all_history_refit,1,50,57
20260842,all_history_refit,1,51,3
20260842,all_history_refit,1,52,1
20260842,all_history_refit,1,53,10
20260842,all_history_refit,1,54,15
20260842,all_history_refit,1,55,23
20260842,all_history_refit,1,56,51
20260842,all_history_refit,1,57,18
20260842,all_history_refit,1,58,54
20260842,all_history_refit,1,59,33
20260842,all_history_refit,1,60,16
20260842,all_history_refit,1,61,21
20260843,selection_fit,1,1,31
20260843,selection_fit,1,2,15
20260843,selection_fit,1,3,34
20260843,selection_fit,1,4,28
20260843,selection_fit,1,5,22
20260843,selection_fit,1,6,32
20260843,selection_fit,1,7,37
20260843,selection_fit,1,8,24
20260843,selection_fit,1,9,8
20260843,selection_fit,1,10,7
20260843,selection_fit,1,11,10
20260843,selection_fit,1,12,30
20260843,selection_fit,1,13,5
20260843,selection_fit,1,14,6
20260843,selection_fit,1,15,1
20260843,selection_fit,1,16,19
20260843,selection_fit,1,17,4
20260843,selection_fit,1,18,3
20260843,selection_fit,1,19,12
20260843,selection_fit,1,20,9
20260843,selection_fit,1,21,13
20260843,selection_fit,1,22,17
20260843,selection_fit,1,23,25
20260843,selection_fit,1,24,16
20260843,selection_fit,1,25,26
20260843,selection_fit,1,26,35
20260843,selection_fit,1,27,21
20260843,selection_fit,1,28,33
20260843,selection_fit,1,29,14
20260843,selection_fit,1,30,27
20260843,selection_fit,1,31,18
20260843,selection_fit,1,32,36
20260843,selection_fit,1,33,20
20260843,selection_fit,1,34,2
20260843,selection_fit,1,35,11
20260843,selection_fit,1,36,23
20260843,selection_fit,1,37,29
20260843,all_history_refit,1,1,60
20260843,all_history_refit,1,2,51
20260843,all_history_refit,1,3,6
20260843,all_history_refit,1,4,5
20260843,all_history_refit,1,5,56
20260843,all_history_refit,1,6,40
20260843,all_history_refit,1,7,41
20260843,all_history_refit,1,8,59
20260843,all_history_refit,1,9,34
20260843,all_history_refit,1,10,54
20260843,all_history_refit,1,11,12
20260843,all_history_refit,1,12,28
20260843,all_history_refit,1,13,20
20260843,all_history_refit,1,14,26
20260843,all_history_refit,1,15,23
20260843,all_history_refit,1,16,53
20260843,all_history_refit,1,17,15
20260843,all_history_refit,1,18,31
20260843,all_history_refit,1,19,16
20260843,all_history_refit,1,20,11
20260843,all_history_refit,1,21,29
20260843,all_history_refit,1,22,55
20260843,all_history_refit,1,23,45
20260843,all_history_refit,1,24,32
20260843,all_history_refit,1,25,39
20260843,all_history_refit,1,26,24
20260843,all_history_refit,1,27,58
20260843,all_history_refit,1,28,17
20260843,all_history_refit,1,29,50
20260843,all_history_refit,1,30,38
20260843,all_history_refit,1,31,3
20260843,all_history_refit,1,32,4
20260843,all_history_refit,1,33,35
20260843,all_history_refit,1,34,61
20260843,all_history_refit,1,35,36
20260843,all_history_refit,1,36,22
20260843,all_history_refit,1,37,48
20260843,all_history_refit,1,38,57
20260843,all_history_refit,1,39,27
20260843,all_history_refit,1,40,7
20260843,all_history_refit,1,41,47
20260843,all_history_refit,1,42,2
20260843,all_history_refit,1,43,18
20260843,all_history_refit,1,44,49
20260843,all_history_refit,1,45,21
20260843,all_history_refit,1,46,19
20260843,all_history_refit,1,47,33
20260843,all_history_refit,1,48,8
20260843,all_history_refit,1,49,52
20260843,all_history_refit,1,50,37
20260843,all_history_refit,1,51,46
20260843,all_history_refit,1,52,43
20260843,all_history_refit,1,53,13
20260843,all_history_refit,1,54,44
20260843,all_history_refit,1,55,14
20260843,all_history_refit,1,56,10
20260843,all_history_refit,1,57,25
20260843,all_history_refit,1,58,1
20260843,all_history_refit,1,59,42
20260843,all_history_refit,1,60,9
20260843,all_history_refit,1,61,30
20260844,selection_fit,1,1,30
20260844,selection_fit,1,2,14
20260844,selection_fit,1,3,2
20260844,selection_fit,1,4,19
20260844,selection_fit,1,5,9
20260844,selection_fit,1,6,11
20260844,selection_fit,1,7,18
20260844,selection_fit,1,8,1
20260844,selection_fit,1,9,21
20260844,selection_fit,1,10,13
20260844,selection_fit,1,11,32
20260844,selection_fit,1,12,3
20260844,selection_fit,1,13,37
20260844,selection_fit,1,14,34
20260844,selection_fit,1,15,10
20260844,selection_fit,1,16,25
20260844,selection_fit,1,17,20
20260844,selection_fit,1,18,16
20260844,selection_fit,1,19,22
20260844,selection_fit,1,20,27
20260844,selection_fit,1,21,31
20260844,selection_fit,1,22,24
20260844,selection_fit,1,23,6
20260844,selection_fit,1,24,5
20260844,selection_fit,1,25,12
20260844,selection_fit,1,26,15
20260844,selection_fit,1,27,7
20260844,selection_fit,1,28,4
20260844,selection_fit,1,29,8
20260844,selection_fit,1,30,26
20260844,selection_fit,1,31,23
20260844,selection_fit,1,32,29
20260844,selection_fit,1,33,36
20260844,selection_fit,1,34,35
20260844,selection_fit,1,35,28
20260844,selection_fit,1,36,33
20260844,selection_fit,1,37,17
20260844,all_history_refit,1,1,11
20260844,all_history_refit,1,2,32
20260844,all_history_refit,1,3,7
20260844,all_history_refit,1,4,18
20260844,all_history_refit,1,5,26
20260844,all_history_refit,1,6,3
20260844,all_history_refit,1,7,19
20260844,all_history_refit,1,8,20
20260844,all_history_refit,1,9,27
20260844,all_history_refit,1,10,10
20260844,all_history_refit,1,11,12
20260844,all_history_refit,1,12,38
20260844,all_history_refit,1,13,61
20260844,all_history_refit,1,14,59
20260844,all_history_refit,1,15,22
20260844,all_history_refit,1,16,57
20260844,all_history_refit,1,17,56
20260844,all_history_refit,1,18,16
20260844,all_history_refit,1,19,34
20260844,all_history_refit,1,20,51
20260844,all_history_refit,1,21,49
20260844,all_history_refit,1,22,54
20260844,all_history_refit,1,23,1
20260844,all_history_refit,1,24,39
20260844,all_history_refit,1,25,23
20260844,all_history_refit,1,26,40
20260844,all_history_refit,1,27,2
20260844,all_history_refit,1,28,52
20260844,all_history_refit,1,29,43
20260844,all_history_refit,1,30,31
20260844,all_history_refit,1,31,55
20260844,all_history_refit,1,32,29
20260844,all_history_refit,1,33,35
20260844,all_history_refit,1,34,33
20260844,all_history_refit,1,35,41
20260844,all_history_refit,1,36,8
20260844,all_history_refit,1,37,48
20260844,all_history_refit,1,38,13
20260844,all_history_refit,1,39,37
20260844,all_history_refit,1,40,47
20260844,all_history_refit,1,41,14
20260844,all_history_refit,1,42,17
20260844,all_history_refit,1,43,60
20260844,all_history_refit,1,44,6
20260844,all_history_refit,1,45,5
20260844,all_history_refit,1,46,58
20260844,all_history_refit,1,47,21
20260844,all_history_refit,1,48,30
20260844,all_history_refit,1,49,45
20260844,all_history_refit,1,50,46
20260844,all_history_refit,1,51,53
20260844,all_history_refit,1,52,9
20260844,all_history_refit,1,53,24
20260844,all_history_refit,1,54,4
20260844,all_history_refit,1,55,15
20260844,all_history_refit,1,56,28
20260844,all_history_refit,1,57,44
20260844,all_history_refit,1,58,50
20260844,all_history_refit,1,59,36
20260844,all_history_refit,1,60,25
20260844,all_history_refit,1,61,42
20260845,selection_fit,1,1,22
20260845,selection_fit,1,2,5
20260845,selection_fit,1,3,10
20260845,selection_fit,1,4,24
20260845,selection_fit,1,5,2
20260845,selection_fit,1,6,21
20260845,selection_fit,1,7,6
20260845,selection_fit,1,8,26
20260845,selection_fit,1,9,4
20260845,selection_fit,1,10,19
20260845,selection_fit,1,11,13
20260845,selection_fit,1,12,1
20260845,selection_fit,1,13,8
20260845,selection_fit,1,14,37
20260845,selection_fit,1,15,35
20260845,selection_fit,1,16,16
20260845,selection_fit,1,17,7
20260845,selection_fit,1,18,11
20260845,selection_fit,1,19,17
20260845,selection_fit,1,20,25
20260845,selection_fit,1,21,32
20260845,selection_fit,1,22,9
20260845,selection_fit,1,23,28
20260845,selection_fit,1,24,12
20260845,selection_fit,1,25,27
20260845,selection_fit,1,26,20
20260845,selection_fit,1,27,14
20260845,selection_fit,1,28,15
20260845,selection_fit,1,29,3
20260845,selection_fit,1,30,23
20260845,selection_fit,1,31,34
20260845,selection_fit,1,32,33
20260845,selection_fit,1,33,31
20260845,selection_fit,1,34,36
20260845,selection_fit,1,35,18
20260845,selection_fit,1,36,29
20260845,selection_fit,1,37,30
20260845,all_history_refit,1,1,56
20260845,all_history_refit,1,2,36
20260845,all_history_refit,1,3,4
20260845,all_history_refit,1,4,60
20260845,all_history_refit,1,5,20
20260845,all_history_refit,1,6,26
20260845,all_history_refit,1,7,45
20260845,all_history_refit,1,8,19
20260845,all_history_refit,1,9,9
20260845,all_history_refit,1,10,40
20260845,all_history_refit,1,11,21
20260845,all_history_refit,1,12,49
20260845,all_history_refit,1,13,57
20260845,all_history_refit,1,14,41
20260845,all_history_refit,1,15,29
20260845,all_history_refit,1,16,22
20260845,all_history_refit,1,17,32
20260845,all_history_refit,1,18,10
20260845,all_history_refit,1,19,43
20260845,all_history_refit,1,20,54
20260845,all_history_refit,1,21,7
20260845,all_history_refit,1,22,46
20260845,all_history_refit,1,23,15
20260845,all_history_refit,1,24,50
20260845,all_history_refit,1,25,33
20260845,all_history_refit,1,26,52
20260845,all_history_refit,1,27,11
20260845,all_history_refit,1,28,1
20260845,all_history_refit,1,29,30
20260845,all_history_refit,1,30,31
20260845,all_history_refit,1,31,6
20260845,all_history_refit,1,32,39
20260845,all_history_refit,1,33,8
20260845,all_history_refit,1,34,47
20260845,all_history_refit,1,35,42
20260845,all_history_refit,1,36,27
20260845,all_history_refit,1,37,59
20260845,all_history_refit,1,38,55
20260845,all_history_refit,1,39,16
20260845,all_history_refit,1,40,18
20260845,all_history_refit,1,41,38
20260845,all_history_refit,1,42,48
20260845,all_history_refit,1,43,23
20260845,all_history_refit,1,44,58
20260845,all_history_refit,1,45,2
20260845,all_history_refit,1,46,5
20260845,all_history_refit,1,47,37
20260845,all_history_refit,1,48,53
20260845,all_history_refit,1,49,25
20260845,all_history_refit,1,50,44
20260845,all_history_refit,1,51,17
20260845,all_history_refit,1,52,61
20260845,all_history_refit,1,53,13
20260845,all_history_refit,1,54,35
20260845,all_history_refit,1,55,24
20260845,all_history_refit,1,56,34
20260845,all_history_refit,1,57,28
20260845,all_history_refit,1,58,14
20260845,all_history_refit,1,59,12
20260845,all_history_refit,1,60,51
20260845,all_history_refit,1,61,3
20260846,selection_fit,1,1,22
20260846,selection_fit,1,2,15
20260846,selection_fit,1,3,20
20260846,selection_fit,1,4,35
20260846,selection_fit,1,5,14
20260846,selection_fit,1,6,19
20260846,selection_fit,1,7,23
20260846,selection_fit,1,8,4
20260846,selection_fit,1,9,7
20260846,selection_fit,1,10,24
20260846,selection_fit,1,11,34
20260846,selection_fit,1,12,32
20260846,selection_fit,1,13,11
20260846,selection_fit,1,14,36
20260846,selection_fit,1,15,37
20260846,selection_fit,1,16,6
20260846,selection_fit,1,17,26
20260846,selection_fit,1,18,8
20260846,selection_fit,1,19,2
20260846,selection_fit,1,20,25
20260846,selection_fit,1,21,13
20260846,selection_fit,1,22,3
20260846,selection_fit,1,23,12
20260846,selection_fit,1,24,16
20260846,selection_fit,1,25,21
20260846,selection_fit,1,26,28
20260846,selection_fit,1,27,17
20260846,selection_fit,1,28,29
20260846,selection_fit,1,29,31
20260846,selection_fit,1,30,33
20260846,selection_fit,1,31,1
20260846,selection_fit,1,32,9
20260846,selection_fit,1,33,5
20260846,selection_fit,1,34,27
20260846,selection_fit,1,35,10
20260846,selection_fit,1,36,30
20260846,selection_fit,1,37,18
20260846,all_history_refit,1,1,48
20260846,all_history_refit,1,2,11
20260846,all_history_refit,1,3,57
20260846,all_history_refit,1,4,58
20260846,all_history_refit,1,5,9
20260846,all_history_refit,1,6,12
20260846,all_history_refit,1,7,30
20260846,all_history_refit,1,8,22
20260846,all_history_refit,1,9,33
20260846,all_history_refit,1,10,60
20260846,all_history_refit,1,11,1
20260846,all_history_refit,1,12,31
20260846,all_history_refit,1,13,41
20260846,all_history_refit,1,14,34
20260846,all_history_refit,1,15,52
20260846,all_history_refit,1,16,4
20260846,all_history_refit,1,17,50
20260846,all_history_refit,1,18,18
20260846,all_history_refit,1,19,51
20260846,all_history_refit,1,20,47
20260846,all_history_refit,1,21,20
20260846,all_history_refit,1,22,38
20260846,all_history_refit,1,23,35
20260846,all_history_refit,1,24,3
20260846,all_history_refit,1,25,14
20260846,all_history_refit,1,26,40
20260846,all_history_refit,1,27,56
20260846,all_history_refit,1,28,8
20260846,all_history_refit,1,29,36
20260846,all_history_refit,1,30,29
20260846,all_history_refit,1,31,16
20260846,all_history_refit,1,32,59
20260846,all_history_refit,1,33,61
20260846,all_history_refit,1,34,46
20260846,all_history_refit,1,35,45
20260846,all_history_refit,1,36,53
20260846,all_history_refit,1,37,54
20260846,all_history_refit,1,38,2
20260846,all_history_refit,1,39,25
20260846,all_history_refit,1,40,44
20260846,all_history_refit,1,41,10
20260846,all_history_refit,1,42,27
20260846,all_history_refit,1,43,5
20260846,all_history_refit,1,44,23
20260846,all_history_refit,1,45,28
20260846,all_history_refit,1,46,37
20260846,all_history_refit,1,47,21
20260846,all_history_refit,1,48,15
20260846,all_history_refit,1,49,7
20260846,all_history_refit,1,50,39
20260846,all_history_refit,1,51,49
20260846,all_history_refit,1,52,13
20260846,all_history_refit,1,53,6
20260846,all_history_refit,1,54,26
20260846,all_history_refit,1,55,32
20260846,all_history_refit,1,56,55
20260846,all_history_refit,1,57,42
20260846,all_history_refit,1,58,43
20260846,all_history_refit,1,59,19
20260846,all_history_refit,1,60,17
20260846,all_history_refit,1,61,24
20260847,selection_fit,1,1,9
20260847,selection_fit,1,2,18
20260847,selection_fit,1,3,32
20260847,selection_fit,1,4,2
20260847,selection_fit,1,5,27
20260847,selection_fit,1,6,1
20260847,selection_fit,1,7,15
20260847,selection_fit,1,8,20
20260847,selection_fit,1,9,35
20260847,selection_fit,1,10,31
20260847,selection_fit,1,11,16
20260847,selection_fit,1,12,24
20260847,selection_fit,1,13,22
20260847,selection_fit,1,14,37
20260847,selection_fit,1,15,26
20260847,selection_fit,1,16,11
20260847,selection_fit,1,17,10
20260847,selection_fit,1,18,29
20260847,selection_fit,1,19,12
20260847,selection_fit,1,20,4
20260847,selection_fit,1,21,19
20260847,selection_fit,1,22,14
20260847,selection_fit,1,23,13
20260847,selection_fit,1,24,25
20260847,selection_fit,1,25,8
20260847,selection_fit,1,26,36
20260847,selection_fit,1,27,7
20260847,selection_fit,1,28,30
20260847,selection_fit,1,29,5
20260847,selection_fit,1,30,17
20260847,selection_fit,1,31,21
20260847,selection_fit,1,32,28
20260847,selection_fit,1,33,34
20260847,selection_fit,1,34,23
20260847,selection_fit,1,35,3
20260847,selection_fit,1,36,6
20260847,selection_fit,1,37,33
20260847,all_history_refit,1,1,14
20260847,all_history_refit,1,2,4
20260847,all_history_refit,1,3,3
20260847,all_history_refit,1,4,18
20260847,all_history_refit,1,5,50
20260847,all_history_refit,1,6,16
20260847,all_history_refit,1,7,6
20260847,all_history_refit,1,8,49
20260847,all_history_refit,1,9,9
20260847,all_history_refit,1,10,7
20260847,all_history_refit,1,11,39
20260847,all_history_refit,1,12,61
20260847,all_history_refit,1,13,2
20260847,all_history_refit,1,14,59
20260847,all_history_refit,1,15,34
20260847,all_history_refit,1,16,10
20260847,all_history_refit,1,17,45
20260847,all_history_refit,1,18,36
20260847,all_history_refit,1,19,11
20260847,all_history_refit,1,20,42
20260847,all_history_refit,1,21,24
20260847,all_history_refit,1,22,58
20260847,all_history_refit,1,23,1
20260847,all_history_refit,1,24,51
20260847,all_history_refit,1,25,17
20260847,all_history_refit,1,26,47
20260847,all_history_refit,1,27,41
20260847,all_history_refit,1,28,12
20260847,all_history_refit,1,29,8
20260847,all_history_refit,1,30,22
20260847,all_history_refit,1,31,23
20260847,all_history_refit,1,32,28
20260847,all_history_refit,1,33,5
20260847,all_history_refit,1,34,44
20260847,all_history_refit,1,35,56
20260847,all_history_refit,1,36,19
20260847,all_history_refit,1,37,35
20260847,all_history_refit,1,38,27
20260847,all_history_refit,1,39,53
20260847,all_history_refit,1,40,33
20260847,all_history_refit,1,41,29
20260847,all_history_refit,1,42,26
20260847,all_history_refit,1,43,55
20260847,all_history_refit,1,44,30
20260847,all_history_refit,1,45,46
20260847,all_history_refit,1,46,38
20260847,all_history_refit,1,47,54
20260847,all_history_refit,1,48,15
20260847,all_history_refit,1,49,32
20260847,all_history_refit,1,50,52
20260847,all_history_refit,1,51,60
20260847,all_history_refit,1,52,20
20260847,all_history_refit,1,53,43
20260847,all_history_refit,1,54,13
20260847,all_history_refit,1,55,21
20260847,all_history_refit,1,56,25
20260847,all_history_refit,1,57,40
20260847,all_history_refit,1,58,57
20260847,all_history_refit,1,59,48
20260847,all_history_refit,1,60,37
20260847,all_history_refit,1,61,31
20260848,selection_fit,1,1,22
20260848,selection_fit,1,2,6
20260848,selection_fit,1,3,35
20260848,selection_fit,1,4,17
20260848,selection_fit,1,5,14
20260848,selection_fit,1,6,36
20260848,selection_fit,1,7,27
20260848,selection_fit,1,8,29
20260848,selection_fit,1,9,4
20260848,selection_fit,1,10,24
20260848,selection_fit,1,11,3
20260848,selection_fit,1,12,1
20260848,selection_fit,1,13,8
20260848,selection_fit,1,14,33
20260848,selection_fit,1,15,7
20260848,selection_fit,1,16,15
20260848,selection_fit,1,17,30
20260848,selection_fit,1,18,19
20260848,selection_fit,1,19,32
20260848,selection_fit,1,20,2
20260848,selection_fit,1,21,5
20260848,selection_fit,1,22,10
20260848,selection_fit,1,23,11
20260848,selection_fit,1,24,23
20260848,selection_fit,1,25,37
20260848,selection_fit,1,26,26
20260848,selection_fit,1,27,13
20260848,selection_fit,1,28,21
20260848,selection_fit,1,29,28
20260848,selection_fit,1,30,9
20260848,selection_fit,1,31,16
20260848,selection_fit,1,32,18
20260848,selection_fit,1,33,20
20260848,selection_fit,1,34,25
20260848,selection_fit,1,35,12
20260848,selection_fit,1,36,34
20260848,selection_fit,1,37,31
20260848,all_history_refit,1,1,23
20260848,all_history_refit,1,2,2
20260848,all_history_refit,1,3,47
20260848,all_history_refit,1,4,5
20260848,all_history_refit,1,5,32
20260848,all_history_refit,1,6,36
20260848,all_history_refit,1,7,21
20260848,all_history_refit,1,8,44
20260848,all_history_refit,1,9,43
20260848,all_history_refit,1,10,52
20260848,all_history_refit,1,11,10
20260848,all_history_refit,1,12,33
20260848,all_history_refit,1,13,12
20260848,all_history_refit,1,14,6
20260848,all_history_refit,1,15,61
20260848,all_history_refit,1,16,34
20260848,all_history_refit,1,17,50
20260848,all_history_refit,1,18,14
20260848,all_history_refit,1,19,38
20260848,all_history_refit,1,20,27
20260848,all_history_refit,1,21,45
20260848,all_history_refit,1,22,26
20260848,all_history_refit,1,23,54
20260848,all_history_refit,1,24,19
20260848,all_history_refit,1,25,55
20260848,all_history_refit,1,26,31
20260848,all_history_refit,1,27,53
20260848,all_history_refit,1,28,16
20260848,all_history_refit,1,29,4
20260848,all_history_refit,1,30,1
20260848,all_history_refit,1,31,8
20260848,all_history_refit,1,32,18
20260848,all_history_refit,1,33,13
20260848,all_history_refit,1,34,51
20260848,all_history_refit,1,35,22
20260848,all_history_refit,1,36,28
20260848,all_history_refit,1,37,56
20260848,all_history_refit,1,38,35
20260848,all_history_refit,1,39,46
20260848,all_history_refit,1,40,59
20260848,all_history_refit,1,41,37
20260848,all_history_refit,1,42,9
20260848,all_history_refit,1,43,60
20260848,all_history_refit,1,44,41
20260848,all_history_refit,1,45,48
20260848,all_history_refit,1,46,17
20260848,all_history_refit,1,47,11
20260848,all_history_refit,1,48,40
20260848,all_history_refit,1,49,42
20260848,all_history_refit,1,50,30
20260848,all_history_refit,1,51,49
20260848,all_history_refit,1,52,7
20260848,all_history_refit,1,53,3
20260848,all_history_refit,1,54,20
20260848,all_history_refit,1,55,15
20260848,all_history_refit,1,56,24
20260848,all_history_refit,1,57,57
20260848,all_history_refit,1,58,58
20260848,all_history_refit,1,59,39
20260848,all_history_refit,1,60,25
20260848,all_history_refit,1,61,29
20260849,selection_fit,1,1,33
20260849,selection_fit,1,2,37
20260849,selection_fit,1,3,12
20260849,selection_fit,1,4,5
20260849,selection_fit,1,5,30
20260849,selection_fit,1,6,26
20260849,selection_fit,1,7,7
20260849,selection_fit,1,8,15
20260849,selection_fit,1,9,31
20260849,selection_fit,1,10,17
20260849,selection_fit,1,11,28
20260849,selection_fit,1,12,22
20260849,selection_fit,1,13,13
20260849,selection_fit,1,14,29
20260849,selection_fit,1,15,21
20260849,selection_fit,1,16,25
20260849,selection_fit,1,17,18
20260849,selection_fit,1,18,34
20260849,selection_fit,1,19,24
20260849,selection_fit,1,20,11
20260849,selection_fit,1,21,35
20260849,selection_fit,1,22,6
20260849,selection_fit,1,23,1
20260849,selection_fit,1,24,10
20260849,selection_fit,1,25,23
20260849,selection_fit,1,26,32
20260849,selection_fit,1,27,3
20260849,selection_fit,1,28,4
20260849,selection_fit,1,29,27
20260849,selection_fit,1,30,14
20260849,selection_fit,1,31,16
20260849,selection_fit,1,32,19
20260849,selection_fit,1,33,20
20260849,selection_fit,1,34,9
20260849,selection_fit,1,35,8
20260849,selection_fit,1,36,2
20260849,selection_fit,1,37,36
20260849,all_history_refit,1,1,47
20260849,all_history_refit,1,2,2
20260849,all_history_refit,1,3,53
20260849,all_history_refit,1,4,7
20260849,all_history_refit,1,5,39
20260849,all_history_refit,1,6,23
20260849,all_history_refit,1,7,3
20260849,all_history_refit,1,8,43
20260849,all_history_refit,1,9,12
20260849,all_history_refit,1,10,28
20260849,all_history_refit,1,11,29
20260849,all_history_refit,1,12,19
20260849,all_history_refit,1,13,55
20260849,all_history_refit,1,14,30
20260849,all_history_refit,1,15,48
20260849,all_history_refit,1,16,14
20260849,all_history_refit,1,17,60
20260849,all_history_refit,1,18,13
20260849,all_history_refit,1,19,45
20260849,all_history_refit,1,20,57
