seed,stage,pass,position,original_episode
20260742,all_history_refit,1,4,33
20260742,all_history_refit,1,5,10
20260742,all_history_refit,1,6,4
20260742,all_history_refit,1,7,43
20260742,all_history_refit,1,8,26
20260742,all_history_refit,1,9,52
20260742,all_history_refit,1,10,36
20260742,all_history_refit,1,11,44
20260742,all_history_refit,1,12,12
20260742,all_history_refit,1,13,14
20260742,all_history_refit,1,14,60
20260742,all_history_refit,1,15,8
20260742,all_history_refit,1,16,34
20260742,all_history_refit,1,17,51
20260742,all_history_refit,1,18,49
20260742,all_history_refit,1,19,13
20260742,all_history_refit,1,20,50
20260742,all_history_refit,1,21,42
20260742,all_history_refit,1,22,61
20260742,all_history_refit,1,23,1
20260742,all_history_refit,1,24,37
20260742,all_history_refit,1,25,16
20260742,all_history_refit,1,26,29
20260742,all_history_refit,1,27,5
20260742,all_history_refit,1,28,30
20260742,all_history_refit,1,29,27
20260742,all_history_refit,1,30,2
20260742,all_history_refit,1,31,23
20260742,all_history_refit,1,32,18
20260742,all_history_refit,1,33,40
20260742,all_history_refit,1,34,32
20260742,all_history_refit,1,35,48
20260742,all_history_refit,1,36,31
20260742,all_history_refit,1,37,39
20260742,all_history_refit,1,38,47
20260742,all_history_refit,1,39,17
20260742,all_history_refit,1,40,41
20260742,all_history_refit,1,41,15
20260742,all_history_refit,1,42,6
20260742,all_history_refit,1,43,58
20260742,all_history_refit,1,44,35
20260742,all_history_refit,1,45,55
20260742,all_history_refit,1,46,59
20260742,all_history_refit,1,47,9
20260742,all_history_refit,1,48,56
20260742,all_history_refit,1,49,19
20260742,all_history_refit,1,50,3
20260742,all_history_refit,1,51,57
20260742,all_history_refit,1,52,28
20260742,all_history_refit,1,53,53
20260742,all_history_refit,1,54,38
20260742,all_history_refit,1,55,25
20260742,all_history_refit,1,56,45
20260742,all_history_refit,1,57,11
20260742,all_history_refit,1,58,24
20260742,all_history_refit,1,59,20
20260742,all_history_refit,1,60,22
20260742,all_history_refit,1,61,46
20260743,selection_fit,1,1,13
20260743,selection_fit,1,2,19
20260743,selection_fit,1,3,34
20260743,selection_fit,1,4,18
20260743,selection_fit,1,5,14
20260743,selection_fit,1,6,30
20260743,selection_fit,1,7,2
20260743,selection_fit,1,8,25
20260743,selection_fit,1,9,31
20260743,selection_fit,1,10,12
20260743,selection_fit,1,11,6
20260743,selection_fit,1,12,22
20260743,selection_fit,1,13,17
20260743,selection_fit,1,14,9
20260743,selection_fit,1,15,1
20260743,selection_fit,1,16,36
20260743,selection_fit,1,17,11
20260743,selection_fit,1,18,7
20260743,selection_fit,1,19,16
20260743,selection_fit,1,20,5
20260743,selection_fit,1,21,20
20260743,selection_fit,1,22,28
20260743,selection_fit,1,23,24
20260743,selection_fit,1,24,23
20260743,selection_fit,1,25,29
20260743,selection_fit,1,26,15
20260743,selection_fit,1,27,32
20260743,selection_fit,1,28,4
20260743,selection_fit,1,29,26
20260743,selection_fit,1,30,33
20260743,selection_fit,1,31,35
20260743,selection_fit,1,32,10
20260743,selection_fit,1,33,27
20260743,selection_fit,1,34,8
20260743,selection_fit,1,35,37
20260743,selection_fit,1,36,3
20260743,selection_fit,1,37,21
20260743,all_history_refit,1,1,16
20260743,all_history_refit,1,2,10
20260743,all_history_refit,1,3,8
20260743,all_history_refit,1,4,28
20260743,all_history_refit,1,5,22
20260743,all_history_refit,1,6,53
20260743,all_history_refit,1,7,13
20260743,all_history_refit,1,8,17
20260743,all_history_refit,1,9,36
20260743,all_history_refit,1,10,9
20260743,all_history_refit,1,11,35
20260743,all_history_refit,1,12,60
20260743,all_history_refit,1,13,23
20260743,all_history_refit,1,14,52
20260743,all_history_refit,1,15,30
20260743,all_history_refit,1,16,18
20260743,all_history_refit,1,17,32
20260743,all_history_refit,1,18,44
20260743,all_history_refit,1,19,27
20260743,all_history_refit,1,20,38
20260743,all_history_refit,1,21,59
20260743,all_history_refit,1,22,41
20260743,all_history_refit,1,23,7
20260743,all_history_refit,1,24,43
20260743,all_history_refit,1,25,34
20260743,all_history_refit,1,26,37
20260743,all_history_refit,1,27,61
20260743,all_history_refit,1,28,3
20260743,all_history_refit,1,29,58
20260743,all_history_refit,1,30,33
20260743,all_history_refit,1,31,48
20260743,all_history_refit,1,32,47
20260743,all_history_refit,1,33,56
20260743,all_history_refit,1,34,5
20260743,all_history_refit,1,35,46
20260743,all_history_refit,1,36,39
20260743,all_history_refit,1,37,25
20260743,all_history_refit,1,38,1
20260743,all_history_refit,1,39,6
20260743,all_history_refit,1,40,54
20260743,all_history_refit,1,41,12
20260743,all_history_refit,1,42,11
20260743,all_history_refit,1,43,42
20260743,all_history_refit,1,44,21
20260743,all_history_refit,1,45,15
20260743,all_history_refit,1,46,55
20260743,all_history_refit,1,47,24
20260743,all_history_refit,1,48,40
20260743,all_history_refit,1,49,19
20260743,all_history_refit,1,50,50
20260743,all_history_refit,1,51,57
20260743,all_history_refit,1,52,49
20260743,all_history_refit,1,53,14
20260743,all_history_refit,1,54,26
20260743,all_history_refit,1,55,45
20260743,all_history_refit,1,56,31
20260743,all_history_refit,1,57,2
20260743,all_history_refit,1,58,51
20260743,all_history_refit,1,59,4
20260743,all_history_refit,1,60,20
20260743,all_history_refit,1,61,29
20260744,selection_fit,1,1,37
20260744,selection_fit,1,2,24
20260744,selection_fit,1,3,35
20260744,selection_fit,1,4,16
20260744,selection_fit,1,5,29
20260744,selection_fit,1,6,11
20260744,selection_fit,1,7,30
20260744,selection_fit,1,8,31
20260744,selection_fit,1,9,22
20260744,selection_fit,1,10,3
20260744,selection_fit,1,11,28
20260744,selection_fit,1,12,4
20260744,selection_fit,1,13,36
20260744,selection_fit,1,14,10
20260744,selection_fit,1,15,17
20260744,selection_fit,1,16,6
20260744,selection_fit,1,17,8
20260744,selection_fit,1,18,5
20260744,selection_fit,1,19,33
20260744,selection_fit,1,20,13
20260744,selection_fit,1,21,19
20260744,selection_fit,1,22,26
20260744,selection_fit,1,23,9
20260744,selection_fit,1,24,14
20260744,selection_fit,1,25,32
20260744,selection_fit,1,26,20
20260744,selection_fit,1,27,27
20260744,selection_fit,1,28,2
20260744,selection_fit,1,29,12
20260744,selection_fit,1,30,1
20260744,selection_fit,1,31,34
20260744,selection_fit,1,32,15
20260744,selection_fit,1,33,18
20260744,selection_fit,1,34,21
20260744,selection_fit,1,35,23
20260744,selection_fit,1,36,25
20260744,selection_fit,1,37,7
20260744,all_history_refit,1,1,49
20260744,all_history_refit,1,2,15
20260744,all_history_refit,1,3,17
20260744,all_history_refit,1,4,16
20260744,all_history_refit,1,5,29
20260744,all_history_refit,1,6,45
20260744,all_history_refit,1,7,1
20260744,all_history_refit,1,8,20
20260744,all_history_refit,1,9,42
20260744,all_history_refit,1,10,22
20260744,all_history_refit,1,11,3
20260744,all_history_refit,1,12,35
20260744,all_history_refit,1,13,33
20260744,all_history_refit,1,14,32
20260744,all_history_refit,1,15,58
20260744,all_history_refit,1,16,43
20260744,all_history_refit,1,17,13
20260744,all_history_refit,1,18,2
20260744,all_history_refit,1,19,28
20260744,all_history_refit,1,20,14
20260744,all_history_refit,1,21,26
20260744,all_history_refit,1,22,55
20260744,all_history_refit,1,23,25
20260744,all_history_refit,1,24,5
20260744,all_history_refit,1,25,24
20260744,all_history_refit,1,26,34
20260744,all_history_refit,1,27,50
20260744,all_history_refit,1,28,27
20260744,all_history_refit,1,29,7
20260744,all_history_refit,1,30,21
20260744,all_history_refit,1,31,41
20260744,all_history_refit,1,32,23
20260744,all_history_refit,1,33,53
20260744,all_history_refit,1,34,61
20260744,all_history_refit,1,35,39
20260744,all_history_refit,1,36,47
20260744,all_history_refit,1,37,6
20260744,all_history_refit,1,38,11
20260744,all_history_refit,1,39,38
20260744,all_history_refit,1,40,46
20260744,all_history_refit,1,41,10
20260744,all_history_refit,1,42,37
20260744,all_history_refit,1,43,30
20260744,all_history_refit,1,44,19
20260744,all_history_refit,1,45,40
20260744,all_history_refit,1,46,48
20260744,all_history_refit,1,47,18
20260744,all_history_refit,1,48,9
20260744,all_history_refit,1,49,36
20260744,all_history_refit,1,50,44
20260744,all_history_refit,1,51,12
20260744,all_history_refit,1,52,59
20260744,all_history_refit,1,53,4
20260744,all_history_refit,1,54,31
20260744,all_history_refit,1,55,60
20260744,all_history_refit,1,56,56
20260744,all_history_refit,1,57,54
20260744,all_history_refit,1,58,51
20260744,all_history_refit,1,59,8
20260744,all_history_refit,1,60,57
20260744,all_history_refit,1,61,52
20260745,selection_fit,1,1,18
20260745,selection_fit,1,2,4
20260745,selection_fit,1,3,20
20260745,selection_fit,1,4,3
20260745,selection_fit,1,5,37
20260745,selection_fit,1,6,26
20260745,selection_fit,1,7,32
20260745,selection_fit,1,8,8
20260745,selection_fit,1,9,24
20260745,selection_fit,1,10,31
20260745,selection_fit,1,11,19
20260745,selection_fit,1,12,2
20260745,selection_fit,1,13,16
20260745,selection_fit,1,14,5
20260745,selection_fit,1,15,30
20260745,selection_fit,1,16,36
20260745,selection_fit,1,17,33
20260745,selection_fit,1,18,34
20260745,selection_fit,1,19,7
20260745,selection_fit,1,20,22
20260745,selection_fit,1,21,6
20260745,selection_fit,1,22,23
20260745,selection_fit,1,23,11
20260745,selection_fit,1,24,9
20260745,selection_fit,1,25,12
20260745,selection_fit,1,26,1
20260745,selection_fit,1,27,10
20260745,selection_fit,1,28,29
20260745,selection_fit,1,29,28
20260745,selection_fit,1,30,35
20260745,selection_fit,1,31,25
20260745,selection_fit,1,32,17
20260745,selection_fit,1,33,13
20260745,selection_fit,1,34,21
20260745,selection_fit,1,35,15
20260745,selection_fit,1,36,14
20260745,selection_fit,1,37,27
20260745,all_history_refit,1,1,41
20260745,all_history_refit,1,2,4
20260745,all_history_refit,1,3,38
20260745,all_history_refit,1,4,54
20260745,all_history_refit,1,5,25
20260745,all_history_refit,1,6,8
20260745,all_history_refit,1,7,31
20260745,all_history_refit,1,8,55
20260745,all_history_refit,1,9,59
20260745,all_history_refit,1,10,9
20260745,all_history_refit,1,11,57
20260745,all_history_refit,1,12,17
20260745,all_history_refit,1,13,56
20260745,all_history_refit,1,14,43
20260745,all_history_refit,1,15,44
20260745,all_history_refit,1,16,48
20260745,all_history_refit,1,17,16
20260745,all_history_refit,1,18,46
20260745,all_history_refit,1,19,60
20260745,all_history_refit,1,20,24
20260745,all_history_refit,1,21,33
20260745,all_history_refit,1,22,40
20260745,all_history_refit,1,23,35
20260745,all_history_refit,1,24,39
20260745,all_history_refit,1,25,10
20260745,all_history_refit,1,26,15
20260745,all_history_refit,1,27,27
20260745,all_history_refit,1,28,23
20260745,all_history_refit,1,29,45
20260745,all_history_refit,1,30,28
20260745,all_history_refit,1,31,2
20260745,all_history_refit,1,32,50
20260745,all_history_refit,1,33,21
20260745,all_history_refit,1,34,42
20260745,all_history_refit,1,35,11
20260745,all_history_refit,1,36,13
20260745,all_history_refit,1,37,18
20260745,all_history_refit,1,38,37
20260745,all_history_refit,1,39,19
20260745,all_history_refit,1,40,29
20260745,all_history_refit,1,41,30
20260745,all_history_refit,1,42,7
20260745,all_history_refit,1,43,36
20260745,all_history_refit,1,44,32
20260745,all_history_refit,1,45,53
20260745,all_history_refit,1,46,12
20260745,all_history_refit,1,47,51
20260745,all_history_refit,1,48,3
20260745,all_history_refit,1,49,22
20260745,all_history_refit,1,50,26
20260745,all_history_refit,1,51,52
20260745,all_history_refit,1,52,49
20260745,all_history_refit,1,53,6
20260745,all_history_refit,1,54,61
20260745,all_history_refit,1,55,14
20260745,all_history_refit,1,56,47
20260745,all_history_refit,1,57,58
20260745,all_history_refit,1,58,5
20260745,all_history_refit,1,59,34
20260745,all_history_refit,1,60,20
20260745,all_history_refit,1,61,1
20260746,selection_fit,1,1,33
20260746,selection_fit,1,2,6
20260746,selection_fit,1,3,10
20260746,selection_fit,1,4,35
20260746,selection_fit,1,5,9
20260746,selection_fit,1,6,30
20260746,selection_fit,1,7,15
20260746,selection_fit,1,8,34
20260746,selection_fit,1,9,32
20260746,selection_fit,1,10,17
20260746,selection_fit,1,11,37
20260746,selection_fit,1,12,1
20260746,selection_fit,1,13,11
20260746,selection_fit,1,14,27
20260746,selection_fit,1,15,22
20260746,selection_fit,1,16,8
20260746,selection_fit,1,17,36
20260746,selection_fit,1,18,20
20260746,selection_fit,1,19,25
20260746,selection_fit,1,20,28
20260746,selection_fit,1,21,4
20260746,selection_fit,1,22,13
20260746,selection_fit,1,23,31
20260746,selection_fit,1,24,19
20260746,selection_fit,1,25,23
20260746,selection_fit,1,26,21
20260746,selection_fit,1,27,16
20260746,selection_fit,1,28,14
20260746,selection_fit,1,29,26
20260746,selection_fit,1,30,5
20260746,selection_fit,1,31,24
20260746,selection_fit,1,32,7
20260746,selection_fit,1,33,18
20260746,selection_fit,1,34,2
20260746,selection_fit,1,35,12
20260746,selection_fit,1,36,29
20260746,selection_fit,1,37,3
20260746,all_history_refit,1,1,28
20260746,all_history_refit,1,2,21
20260746,all_history_refit,1,3,3
20260746,all_history_refit,1,4,22
20260746,all_history_refit,1,5,8
20260746,all_history_refit,1,6,16
20260746,all_history_refit,1,7,10
20260746,all_history_refit,1,8,9
20260746,all_history_refit,1,9,30
20260746,all_history_refit,1,10,14
20260746,all_history_refit,1,11,55
20260746,all_history_refit,1,12,6
20260746,all_history_refit,1,13,42
20260746,all_history_refit,1,14,4
20260746,all_history_refit,1,15,27
20260746,all_history_refit,1,16,44
20260746,all_history_refit,1,17,32
20260746,all_history_refit,1,18,57
20260746,all_history_refit,1,19,29
20260746,all_history_refit,1,20,20
20260746,all_history_refit,1,21,48
20260746,all_history_refit,1,22,35
20260746,all_history_refit,1,23,2
20260746,all_history_refit,1,24,46
20260746,all_history_refit,1,25,11
20260746,all_history_refit,1,26,61
20260746,all_history_refit,1,27,15
20260746,all_history_refit,1,28,13
20260746,all_history_refit,1,29,41
20260746,all_history_refit,1,30,5
20260746,all_history_refit,1,31,51
20260746,all_history_refit,1,32,59
20260746,all_history_refit,1,33,43
20260746,all_history_refit,1,34,31
20260746,all_history_refit,1,35,17
20260746,all_history_refit,1,36,40
20260746,all_history_refit,1,37,45
20260746,all_history_refit,1,38,53
20260746,all_history_refit,1,39,38
20260746,all_history_refit,1,40,34
20260746,all_history_refit,1,41,36
20260746,all_history_refit,1,42,1
20260746,all_history_refit,1,43,12
20260746,all_history_refit,1,44,50
20260746,all_history_refit,1,45,33
20260746,all_history_refit,1,46,49
20260746,all_history_refit,1,47,7
20260746,all_history_refit,1,48,19
20260746,all_history_refit,1,49,23
20260746,all_history_refit,1,50,25
20260746,all_history_refit,1,51,47
20260746,all_history_refit,1,52,60
20260746,all_history_refit,1,53,58
20260746,all_history_refit,1,54,56
20260746,all_history_refit,1,55,18
20260746,all_history_refit,1,56,52
20260746,all_history_refit,1,57,37
20260746,all_history_refit,1,58,26
20260746,all_history_refit,1,59,24
20260746,all_history_refit,1,60,54
20260746,all_history_refit,1,61,39
20260747,selection_fit,1,1,37
20260747,selection_fit,1,2,11
20260747,selection_fit,1,3,33
20260747,selection_fit,1,4,20
20260747,selection_fit,1,5,12
20260747,selection_fit,1,6,13
20260747,selection_fit,1,7,14
20260747,selection_fit,1,8,30
20260747,selection_fit,1,9,29
20260747,selection_fit,1,10,25
20260747,selection_fit,1,11,36
20260747,selection_fit,1,12,6
20260747,selection_fit,1,13,18
20260747,selection_fit,1,14,2
20260747,selection_fit,1,15,17
20260747,selection_fit,1,16,9
20260747,selection_fit,1,17,21
20260747,selection_fit,1,18,19
20260747,selection_fit,1,19,16
20260747,selection_fit,1,20,27
20260747,selection_fit,1,21,4
20260747,selection_fit,1,22,8
20260747,selection_fit,1,23,32
20260747,selection_fit,1,24,31
20260747,selection_fit,1,25,3
20260747,selection_fit,1,26,23
20260747,selection_fit,1,27,24
20260747,selection_fit,1,28,1
20260747,selection_fit,1,29,10
20260747,selection_fit,1,30,35
20260747,selection_fit,1,31,28
20260747,selection_fit,1,32,26
20260747,selection_fit,1,33,7
20260747,selection_fit,1,34,22
20260747,selection_fit,1,35,5
20260747,selection_fit,1,36,34
20260747,selection_fit,1,37,15
20260747,all_history_refit,1,1,11
20260747,all_history_refit,1,2,54
20260747,all_history_refit,1,3,23
20260747,all_history_refit,1,4,8
20260747,all_history_refit,1,5,21
20260747,all_history_refit,1,6,3
20260747,all_history_refit,1,7,31
20260747,all_history_refit,1,8,19
20260747,all_history_refit,1,9,58
20260747,all_history_refit,1,10,5
20260747,all_history_refit,1,11,16
20260747,all_history_refit,1,12,60
20260747,all_history_refit,1,13,13
20260747,all_history_refit,1,14,40
20260747,all_history_refit,1,15,45
20260747,all_history_refit,1,16,17
20260747,all_history_refit,1,17,25
20260747,all_history_refit,1,18,22
20260747,all_history_refit,1,19,47
20260747,all_history_refit,1,20,36
20260747,all_history_refit,1,21,44
20260747,all_history_refit,1,22,55
20260747,all_history_refit,1,23,29
20260747,all_history_refit,1,24,18
20260747,all_history_refit,1,25,20
20260747,all_history_refit,1,26,59
20260747,all_history_refit,1,27,24
20260747,all_history_refit,1,28,27
20260747,all_history_refit,1,29,49
20260747,all_history_refit,1,30,41
20260747,all_history_refit,1,31,37
20260747,all_history_refit,1,32,12
20260747,all_history_refit,1,33,56
20260747,all_history_refit,1,34,32
20260747,all_history_refit,1,35,10
20260747,all_history_refit,1,36,30
20260747,all_history_refit,1,37,4
20260747,all_history_refit,1,38,7
20260747,all_history_refit,1,39,50
20260747,all_history_refit,1,40,48
20260747,all_history_refit,1,41,1
20260747,all_history_refit,1,42,43
20260747,all_history_refit,1,43,35
20260747,all_history_refit,1,44,39
20260747,all_history_refit,1,45,42
20260747,all_history_refit,1,46,26
20260747,all_history_refit,1,47,14
20260747,all_history_refit,1,48,34
20260747,all_history_refit,1,49,28
20260747,all_history_refit,1,50,52
20260747,all_history_refit,1,51,33
20260747,all_history_refit,1,52,57
20260747,all_history_refit,1,53,6
20260747,all_history_refit,1,54,15
20260747,all_history_refit,1,55,9
20260747,all_history_refit,1,56,2
20260747,all_history_refit,1,57,46
20260747,all_history_refit,1,58,61
20260747,all_history_refit,1,59,53
20260747,all_history_refit,1,60,38
20260747,all_history_refit,1,61,51
20260748,selection_fit,1,1,14
20260748,selection_fit,1,2,24
20260748,selection_fit,1,3,29
20260748,selection_fit,1,4,30
20260748,selection_fit,1,5,37
20260748,selection_fit,1,6,23
20260748,selection_fit,1,7,34
20260748,selection_fit,1,8,33
20260748,selection_fit,1,9,4
20260748,selection_fit,1,10,10
20260748,selection_fit,1,11,20
20260748,selection_fit,1,12,5
20260748,selection_fit,1,13,22
20260748,selection_fit,1,14,27
20260748,selection_fit,1,15,31
20260748,selection_fit,1,16,25
20260748,selection_fit,1,17,35
20260748,selection_fit,1,18,11
20260748,selection_fit,1,19,16
20260748,selection_fit,1,20,7
20260748,selection_fit,1,21,13
20260748,selection_fit,1,22,12
20260748,selection_fit,1,23,36
20260748,selection_fit,1,24,26
20260748,selection_fit,1,25,8
20260748,selection_fit,1,26,18
20260748,selection_fit,1,27,15
20260748,selection_fit,1,28,1
20260748,selection_fit,1,29,32
20260748,selection_fit,1,30,3
20260748,selection_fit,1,31,9
20260748,selection_fit,1,32,28
20260748,selection_fit,1,33,2
20260748,selection_fit,1,34,6
20260748,selection_fit,1,35,17
20260748,selection_fit,1,36,19
20260748,selection_fit,1,37,21
20260748,all_history_refit,1,1,17
20260748,all_history_refit,1,2,16
20260748,all_history_refit,1,3,30
20260748,all_history_refit,1,4,46
20260748,all_history_refit,1,5,26
20260748,all_history_refit,1,6,45
20260748,all_history_refit,1,7,29
20260748,all_history_refit,1,8,36
20260748,all_history_refit,1,9,34
20260748,all_history_refit,1,10,53
20260748,all_history_refit,1,11,15
20260748,all_history_refit,1,12,20
20260748,all_history_refit,1,13,59
20260748,all_history_refit,1,14,11
20260748,all_history_refit,1,15,1
20260748,all_history_refit,1,16,38
20260748,all_history_refit,1,17,51
20260748,all_history_refit,1,18,39
20260748,all_history_refit,1,19,56
20260748,all_history_refit,1,20,12
20260748,all_history_refit,1,21,50
20260748,all_history_refit,1,22,48
20260748,all_history_refit,1,23,21
20260748,all_history_refit,1,24,47
20260748,all_history_refit,1,25,37
20260748,all_history_refit,1,26,33
20260748,all_history_refit,1,27,4
20260748,all_history_refit,1,28,32
20260748,all_history_refit,1,29,24
20260748,all_history_refit,1,30,27
20260748,all_history_refit,1,31,28
20260748,all_history_refit,1,32,25
20260748,all_history_refit,1,33,7
20260748,all_history_refit,1,34,8
20260748,all_history_refit,1,35,5
20260748,all_history_refit,1,36,18
20260748,all_history_refit,1,37,49
20260748,all_history_refit,1,38,2
20260748,all_history_refit,1,39,55
20260748,all_history_refit,1,40,22
20260748,all_history_refit,1,41,54
20260748,all_history_refit,1,42,57
20260748,all_history_refit,1,43,9
20260748,all_history_refit,1,44,40
20260748,all_history_refit,1,45,61
20260748,all_history_refit,1,46,42
20260748,all_history_refit,1,47,14
20260748,all_history_refit,1,48,6
20260748,all_history_refit,1,49,13
20260748,all_history_refit,1,50,43
20260748,all_history_refit,1,51,60
20260748,all_history_refit,1,52,23
20260748,all_history_refit,1,53,44
20260748,all_history_refit,1,54,31
20260748,all_history_refit,1,55,41
20260748,all_history_refit,1,56,52
20260748,all_history_refit,1,57,19
20260748,all_history_refit,1,58,3
20260748,all_history_refit,1,59,10
20260748,all_history_refit,1,60,35
20260748,all_history_refit,1,61,58
20260749,selection_fit,1,1,19
20260749,selection_fit,1,2,2
20260749,selection_fit,1,3,32
20260749,selection_fit,1,4,18
20260749,selection_fit,1,5,17
20260749,selection_fit,1,6,28
20260749,selection_fit,1,7,34
20260749,selection_fit,1,8,23
20260749,selection_fit,1,9,29
20260749,selection_fit,1,10,13
20260749,selection_fit,1,11,22
20260749,selection_fit,1,12,4
20260749,selection_fit,1,13,33
20260749,selection_fit,1,14,7
20260749,selection_fit,1,15,10
20260749,selection_fit,1,16,15
20260749,selection_fit,1,17,9
20260749,selection_fit,1,18,1
20260749,selection_fit,1,19,5
20260749,selection_fit,1,20,16
20260749,selection_fit,1,21,24
20260749,selection_fit,1,22,27
20260749,selection_fit,1,23,21
20260749,selection_fit,1,24,25
20260749,selection_fit,1,25,30
20260749,selection_fit,1,26,12
20260749,selection_fit,1,27,3
20260749,selection_fit,1,28,8
20260749,selection_fit,1,29,35
20260749,selection_fit,1,30,31
20260749,selection_fit,1,31,11
20260749,selection_fit,1,32,14
20260749,selection_fit,1,33,26
20260749,selection_fit,1,34,6
20260749,selection_fit,1,35,37
20260749,selection_fit,1,36,20
20260749,selection_fit,1,37,36
20260749,all_history_refit,1,1,3
20260749,all_history_refit,1,2,17
20260749,all_history_refit,1,3,37
20260749,all_history_refit,1,4,57
20260749,all_history_refit,1,5,12
20260749,all_history_refit,1,6,55
20260749,all_history_refit,1,7,56
20260749,all_history_refit,1,8,21
20260749,all_history_refit,1,9,22
20260749,all_history_refit,1,10,45
20260749,all_history_refit,1,11,34
20260749,all_history_refit,1,12,8
20260749,all_history_refit,1,13,41
20260749,all_history_refit,1,14,25
20260749,all_history_refit,1,15,15
20260749,all_history_refit,1,16,43
20260749,all_history_refit,1,17,42
20260749,all_history_refit,1,18,20
20260749,all_history_refit,1,19,44
20260749,all_history_refit,1,20,26
